信件标题,回复单位,回复时间,links
公租房还有一年多到期，为何要强制搬离,上海西部企业集团有限公司,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=FAC4AFDF5B6643EB8C3B142B82D7874D
关于S4高速加装隔音设备的建议,上海市奉贤区金海街道办事处,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=FD1CE118249E4B5695AC5F72520C64FD
关于学校建设的进展,上海市青浦区教育局,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7B46022BFC42424A93E00AE42392922A
学校建设进度,上海市嘉定区教育局,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=B7143793AEBC499CBCC0877F16569028
新建中学,上海市嘉定区教育局,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=1D61383B25DD4DE19CCB66A1D9F73AF7
反映路灯昏暗,上海市宝山区月浦镇人民政府,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=492B2E0AC0DD486D900D1B5023E18D86
定海街道需要口袋公园,上海市杨浦区绿化和市容管理局,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=46DC0AAB70EF4EF29CC95E63651750FD
加装电梯违反施工标准,上海市普陀区建设和管理委员会,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=68DA1B52A20F407FA2A424E31FCC2CD8
建议车站不宜设置非机动车停放点,上海市静安区人民政府静安寺街道办事处,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7139525109B7400388DC1BFD3EF80993
关于新建污泥焚烧厂设备调试的咨询,上海市生态环境局,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=19A1C36370EC4E449E337B854DC21490
救救苍生,上海市农业农村委员会,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=A123D6F50245451D978981A2317C80E4
上海市医保异地买药,上海市医疗保障局,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=DF47A617925E4EA8B27FF7D11B450450
小区管理,上海市青浦区人民政府夏阳街道办事处,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=BE48FAF5A717473DB8E5C747C8E1C074
咨询百安公路建设情况,上海市嘉定区交通委员会,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=EA1D01FC31F1486197A24ACAD55E193F
希望宝山39路改线,上海市宝山区建设和交通委员会,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=3436FB1A85954D9E9B0D0FE95680DD02
垃圾桶建议,上海市杨浦区绿化和市容管理局,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=18EFB2243CDE4942942EE92727D93794
建议拆除大连路控江路路口韧性天桥西南下匝道,上海市虹口区建设和管理委员会,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=64F1F42A57354928B28A1DBC977B08DD
施工扰民,上海市普陀区建设和管理委员会,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=0D954ECAF52847A6AC1ED275A9E66418
天钥桥路180弄管理问题,上海市徐汇区人民政府徐家汇街道办事处,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=EF6699A9C7EF467E9CA8ADB71D199A48
生鲜店扰民,上海市静安区人民政府南京西路街道办事处,2023-07-13,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=B3223FF81EE44423B3F8F5A193D49D64
小区物业管理,上海市青浦区人民政府盈浦街道办事处,2023-07-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=13AE9CE478D9410589E71EA0ED15506C
关于小区环境整治的问题,上海市普陀区人民政府宜川路街道办事处,2023-07-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7268161E03034CAB976D5F96D69E187B
给普陀区幼儿园的表扬信,上海市普陀区教育局,2023-07-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=27EB44DC6AE4487FA0C22814510CBE88
信访人咨询关于防排烟风管工程的消防验收要求,上海市建设工程安全质量监督总站,2023-07-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=209631A2C5E849A1BD4656B9ACBD9693
宝林五村小区由于小区污水位高反水问题得不到解决,上海市宝山区水务局,2023-07-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=E39283D48E364D1F801787402E9B02CA
顾村镇电台路599弄丰水宝邸西苑,上海市宝山区顾村镇人民政府,2023-07-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=11518D45CD974159B2E2A220127DC009
投诉虹霞小区物业管理混乱,上海新长宁（集团）有限公司,2023-07-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=4955109EB1074F20A6FF032C4F21A86C
沪金高速广丰路段噪音扰民问题,上海市奉贤区金海街道办事处,2023-07-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=97084C32E24D441F9CB84738540821E7
学校建设咨询,上海市嘉定区教育局,2023-07-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=5292D820F9724873AB13A73661D8A979
尽快建校,上海市嘉定区教育局,2023-07-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=26B1694992E94D148A9F140881382064
建议增加防噪音墙,上海市奉贤区金海街道办事处,2023-07-11,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=AD9E1C95FBBE411BB4F2859AB49CE784
想了解初中摇号后，虹口区第五十二中学改善教育质量的办法和效果,上海市虹口区教育局,2023-07-07,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=766D2D5474944723A074CA9DA31740DF
及时补种绿植,上海市嘉定区绿化和市容管理局,2023-07-07,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=190B2F8FD7F54594A8A4A46181CBEE01
学校建设,上海市嘉定区教育局,2023-07-07,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=2971671844E74A83AE8314719F90F98B
垃圾堆放点,上海市闵行区颛桥镇人民政府,2023-07-07,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=78F592A5198043D39A0C3B742778F51A
堵塞消防通道,上海市闵行区七宝镇人民政府,2023-07-07,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=0D7318371E9140B2B4664D65E1208EBE
希望解决垃圾车扰民问题,上海市徐汇区绿化和市容管理局,2023-07-07,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=59636F49C7AD451BBD18101E0AE8E550
产权证信息误差,上海市静安区住房保障和房屋管理局,2023-07-07,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=EF283F464A304C1E9ED57302C3DF5636
希望宝山39路改线,上海市宝山区建设和交通委员会,2023-07-07,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=D894D04A2889464286E7BEB4E14C34DB
上楼户口问题,上海市闵行区浦江镇人民政府,2023-07-07,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=76EF13643C6D45BE97859C4B6351BF9D
关于业委会换届改选时能否确定业委会成员人数和任期,上海市静安区住房保障和房屋管理局,2023-07-07,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=3986D9A42DCB44AE9BA906B43CE8215E
物业管理,上海市宝山区住房保障和房屋管理局,2023-07-07,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=391DB81EB8714A6DA6EAB9C7C2DDAAD8
规划建议,上海市嘉定区规划和自然资源局,2023-07-07,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=E7E3167A85E741B7BEA209DB2F184E4B
堵塞消防通道,上海市闵行区七宝镇人民政府,2023-07-07,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=AE271088DD5A44849BCD33C4F878A4CC
暑托班,上海市闵行区人民政府古美路街道办事处,2023-07-07,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=D811170DFEB74AB1A22BC02C1328FF22
学校建设情况,上海市嘉定区教育局,2023-07-06,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7445567F404E4CC48D32186320CDBAEA
寻找附近养老机构,上海市普陀区人民政府曹杨新村街道办事处,2023-07-06,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=5C32269366364888BFBBC59EB43A9D25
关于公交站牌内容读音标识问题,上海崇明生态交通集团有限公司,2023-07-06,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=ECEB9759E5DA416FB6D770ADD63731A6
堵塞消防通道,上海市闵行区七宝镇人民政府,2023-07-06,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=CE661EF4BB534852A1E1D62D68CE86AA
道路修缮,上海市闵行区人民政府浦锦街道办事处,2023-07-06,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=308B0D2448E7420E9A07CF9C42EE77C5
关于危废暂存间 环评编制要求咨询,上海市生态环境局,2023-07-06,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=81C8EA2105FE443F9707DE92DA9F6E8A
小区物业,上海市嘉定区安亭镇人民政府,2023-07-06,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=2E9718BE025746768416290579EAE1AA
楼盘质量,上海市嘉定区建设和管理委员会,2023-07-06,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=BC765C16F17E4B3C8780FA280AB7BD8B
要求尽快加装电梯,上海市宝山区人民政府友谊路街道办事处,2023-07-06,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=98EA540D35DF4DEEBD0D19E6E27FDEEC
停车场收费问题,上海市宝山区罗店镇人民政府,2023-07-06,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=EDB2E2CE839947F18A3BAF3DDB54C961
感谢徐汇区凌云街道凌云居委干部,上海市徐汇区人民政府凌云路街道办事处,2023-07-06,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=4F9B984CABC24D91B54532CD14C9D2F9
幼儿园教育配置问题建议,上海市青浦区教育局,2023-07-06,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=763A8975F3964AE9994D85948F3F8FDA
感谢、表扬信,上海市杨浦区教育局,2023-07-05,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=E79209CCCB9D4FAD8188268211BADF27
咨询公园开放时间,上海市普陀区人民政府曹杨新村街道办事处,2023-07-05,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=E8D9519CF4EC4714A7A1045A14D7DA26
瑞金医院自助设备收费系统,上海交通大学医学院附属瑞金医院,2023-07-05,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=D451CB5814F946B895FB87C388BFD2C7
关于集体土地入市政策的建议,上海市规划和自然资源局,2023-07-05,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=9484DA8E9CD34589A9E41BA46CB59517
关于地铁7号线北延的建议,上海市规划和自然资源局,2023-07-05,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=062E7D476DDB458888614B4D6EA56B72
信访人咨询打桩机械的操作要求,上海市建设工程安全质量监督总站,2023-07-05,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=628B8D4FBC264EE08312C78D6EAB9425
关于定制“适老化”样本方便老年人文旅场馆预约参观的建议,上海市文化和旅游局,2023-07-05,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=0AD029A22F4F499FBF30D0B122D8F6B6
关于加强对校外体育培训机构监管的建议,上海市体育局,2023-07-05,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=9A1D4349D5CB473A803CDB5136516CD2
加快学校建设,上海市嘉定区教育局,2023-07-05,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=5C3FE8A2D8A0442DA0E90924F56D3490
学校建设,上海市嘉定区教育局,2023-07-05,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=EE891F7410A64AA2A445D376DDCA7B4B
噪音扰民,上海市嘉定区南翔镇人民政府,2023-07-05,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=17DC0A42D6DA42E9AB2248596E077F32
咨询保利和颂旁规划幼小初何时落地,上海市宝山区顾村镇人民政府,2023-07-04,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=802EE37F9BAB417A843006B5D601741A
退还剩余课费,上海市青浦区体育局,2023-07-04,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=342137C131DA42A9ACD4EFE987019E54
农村宅基地退出政策,上海市农业农村委员会,2023-07-04,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=9E185E88150343DA899DCE68C4A0A757
道路设置单行道,上海市闵行区浦江镇人民政府,2023-07-04,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=021A208C37CC4BA499CB87FFA4451DC0
小区停车问题,上海市宝山区顾村镇人民政府,2023-07-04,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=9D570163C3574C1B83456F47157A9BBD
咨询《长江三角洲区域生态环境领域轻微违法行为不予处罚清单》是否已公开发布,上海市生态环境局,2023-07-04,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=48CECFF3F397462F9C82D97A43FC671F
老小区停车难,上海市普陀区人民政府曹杨新村街道办事处,2023-07-04,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=690EC8E24AED40BEBC015917CF9C3F1F
垃圾车噪音扰民,上海市闵行区人民政府江川路街道办事处,2023-07-04,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=65AD4E837EB0416989196971FDB026F8
关于徐家汇体育公园羽毛球馆的意见及请求,上海市体育局,2023-07-04,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7127805F67644B11B5752B84792FBCEC
希望可以解决同安大楼老鼠乱窜的民生问题，希望可以拆迁,上海市黄浦区建设和管理委员会,2023-07-04,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=45B83409D87E47A7A74EC0608B040AB9
关于演出退票的问题,上海市文化和旅游局,2023-07-04,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=347C73F82E0645469CB153016620FEDB
信访人咨询安标化问题,上海市建设工程安全质量监督总站,2023-07-04,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=14486025094B45F68811BC5D556B50B6
建议优化天文馆参观预约购票机制,中共上海市科学技术工作委员会,2023-07-03,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=6583DEC3BFC44CA49C75E85BD534EA6D
法律援助,上海市静安区人民政府共和新路街道办事处,2023-07-03,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=8D83516D4B7546EDA97B5361C2528D0C
感谢,上海市青浦区民政局,2023-07-03,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=B6E63A3C3BBD45DA8E9358A6B3931492
环卫部门相关问题,上海市绿化和市容管理局(上海市林业局),2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=39D2DD744B064763B492FE49D9D3680C
曹安公路快速路未实现绿波同行,上海市交通委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=213555AD08A347D9A73C1701ACC0FF93
12306购票问题,上海市交通委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=AB6083BDD3EE4655AF4DACAA39FA4351
网约车非法营运,上海市交通委员会执法总队,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=F1BA9B4CB37E440092C014CF2CD1F4A9
交房,上海市嘉定区建设和管理委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=33E04E0B339941E7B6B54123ACC2C45F
网约车沪人沪牌制度形同虚设,上海市交通委员会执法总队,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=036C2F6BB93F48F79217457FAD0F540B
宝山区路政局工作态度有问题,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=88BF3813723348C0A304C224ECA74935
随着金山区金水湖社区的人口不断导入，金水湖的交通需要进一步优化,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=1A09F510EB3C4E43AD33E617ABF1255B
虹口区四平路人行道无故设置石球妨碍通行,上海市虹口区建设和管理委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=7CA28F49CD52432B8B304EE0C563CE5B
临港中运量公交T6何时开工延伸至平安社区,上海市交通委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=8220693F596D41ACA5E7E9BF7B7C8FE7
投诉开发商,上海市嘉定区建设和管理委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=E005347D87F74F2782A48518080AB325
新小区爱分类爱回收垃圾箱及时安装需求,上海市绿化和市容管理局(上海市林业局),2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=2DF179C915EA4291BE07A21B77ED31DF
康新路新卫路路口划线问题,上海市交通委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=21F4ADF1617B4382AA93C343CD14E39C
交通信号灯优化,上海市交通委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=CD8723A3C72C4CDB9EA19EDF1B97DDAB
在1230公交车遭遇司机辱骂和驱赶,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=5692ED1BD1ED4106A0B4844743427009
上海地铁温差反馈,上海申通地铁集团有限公司,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=5AD94B6906234A2AAD925CDC1CDCF655
反映驾校收费问题,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=6E1462E5CDFD4670931E0DA6E9D9E483
马路边绿植被无故移除,上海市绿化和市容管理局(上海市林业局),2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=44B2EF1735A34CBD9BD5A1D189DD4344
上海垃圾分类升级的建议，自荐一个新技术：低值可回收垃圾协同处,上海市绿化和市容管理局(上海市林业局),2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=4D5E5847833C4DDBB99A04DF259239FF
充电桩安装（无业委会）,上海市交通委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=02B0177064134FE5A68D0A36C2D68DD6
毁绿,上海市绿化和市容管理局(上海市林业局),2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=C85CE8689A194BA5B724DD91DE62BA5A
关于庄行镇贤明路施工问题,上海市奉贤区庄行镇人民政府,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=9180B362B9C6448EBC70D843E9588633
退休工资倾斜调整,上海市人力资源和社会保障局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=B4AD1039F35E458B9C33A7B1A7B2C4D3
浦东国际机场至金山城区的机场大巴,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=B650ED468ACB400F898825ADACC86810
社保缴费记录明细申请,上海市人力资源和社会保障局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=935A61BA3FCA4AC4B2F240647D3AB687
楼盘质量,上海市嘉定区建设和管理委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=77251187687843B79E9A88546362FE19
关于小区物业问题,上海市金山区山阳镇人民政府,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=FA3523B164A1467FA5B52DE4E340534D
庄行贤荟悦邸工地扰民问题,上海市奉贤区庄行镇人民政府,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=74FE9DEE32A94034A9C32C32A5EADAA6
解决高速噪音问题,上海市交通委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=A259AB2987884CD1BD2DDAFA776CB36F
请求解决居民小区出行安全问题,上海市交通委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=CA857609E8AA41FC9E3AAFD54E5B3EA2
本人代表金水湖200多位业主提出建议，近2万人口的金水湖产业新城通往虹桥枢纽的最后一公里路至今仍未打通！,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=2A76873B258045168D3376F5C533FF0B
虹桥7路在金水湖地区“志伟路博海路”增加站点,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=685CE2E32C424D2B8CCF603F16D3D49A
社保医保转移,上海市人力资源和社会保障局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=3F49B427374549B2BE5DF3C2C976F487
整个上海金山没有地铁增加一路公交车站应该要求不高吧,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=2F22FD81C33547609104F97020028C2E
虹桥枢纽7路增设站点,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=8E534744E4F347AA867CB0E94DB00F1C
标题：时隔6年，金陵中路恢复通行，23路公交车为何迟迟不恢复,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=F5CCB99C72E94DB5A5DC2180B6C850FF
关于公交候车点环境问题,上海市金山区朱泾镇人民政府,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=5773FFB7BE8A430FACFC5DCC99115B0E
居住证积分办理,上海市人力资源和社会保障局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=197C77B752AA4129A09E97622B310634
马路边绿植被无故移除,上海市绿化和市容管理局(上海市林业局),2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=8E9AAB5B54374F81980F201FBAEF6BAA
外墙晾衣架破坏房屋外貌，要求城管执法,上海市绿化和市容管理局(上海市林业局),2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=39B3193F7B354EDAA998283ECF74F891
驾校退款,上海市道路运输管理局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=A51D4CCDCD764890B8AECF45A2A8F41E
反映环卫垃圾车工人作业行为不规范,上海市绿化和市容管理局(上海市林业局),2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=8C27A957DAF14EE480322AD7CCE0A0BE
社保缴纳问题,上海市人力资源和社会保障局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=9C4CF79DFAC442F28DDC40E1C2BC5DF9
市政工程存在危险,上海市交通委员会,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=2E1B1938F0DF4917A72B10E5233C86F4
中级职称落户咨询,上海市人力资源和社会保障局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=AD5E2B5B9A2C430584861104A4E2D77B
社保缴费问题,上海市人力资源和社会保障局,2023-06-30,https://xfb.sh.gov.cn/xinfang/yjzj/feedback/feedbackshow?id=1B80DD6CA6814D5294564657CC35A05C
